id_aula_bubble;usuarios;;;;;;
1645565827741x807915417606553600;1646506366757x714669705568882000,1620726844573x269089511257849540,1646662862016x123828431108585330,1661740019427x135344427889350980,1649464038228x722383135974790800;;;;;;
1645750301410x690623100354560000;1646506366757x714669705568882000,1646662862016x123828431108585330,1620726844573x269089511257849540;;;;;;
1645751843567x419338921772843000;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1645976491114x200278965097070600;;;;;;;
1645977141216x109524125682761730;;;;;;;
1645977307418x300602161190666240;;;;;;;
1645977362627x493130260964966400;;;;;;;
1645977415776x562103766116204540;;;;;;;
1645977447261x972126621113253900;;;;;;;
1645977479264x103763361054326780;;;;;;;
1645977506216x521054340484694000;;;;;;;
1645977535564x531820736132677600;;;;;;;
1645977581759x196997702292340740;;;;;;;
1645977630348x385545526662135800;;;;;;;
1645977666112x152050012498165760;1620726844573x269089511257849540;;;;;;
1645977695895x796249827307159600;;;;;;;
1645977727003x322370113604943900;;;;;;;
1645978010685x828729246710759400;;;;;;;
1645978042976x339230509864058900;;;;;;;
1645979005695x936628541574348800;;;;;;;
1645979041205x677867843227222000;;;;;;;
1645979081945x408168781356990460;;;;;;;
1645979200661x417321131640356860;;;;;;;
1646003812210x385708486946717700;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646004284788x845294159211003900;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646004355098x219801468685516800;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646004396147x448707771650539500;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646004456177x700384830257889300;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646004902955x136474115917742080;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646005075908x990122895126036500;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646005106048x591348833083195400;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646005141639x204635526019416060;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646005166258x520166254719795200;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646005195800x845096773387550700;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646005302388x618148799310725100;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646005942185x630211848381661200;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646005976876x352232836660461600;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646006007195x296389976722243600;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646006044787x266348592104734720;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646006069820x462873850123911200;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646006097976x224115691278565380;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646006128534x860706803783565300;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646006154803x870832446006362100;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646006190883x578150955109843000;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646006300749x703272127473123300;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646006336291x151698090320199680;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646006471363x836417003280662500;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646006512493x910504168016052200;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646006577170x137084843691343870;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646006621832x197213498725629950;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646006662802x733118971174715400;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646006694130x732159055936618500;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646006715188x363710489475153900;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646006746940x431424566668820500;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646006767657x468888383103959000;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646006797485x964607840377897000;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646006856655x857643302884737000;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646006951447x527655101557899260;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646006989836x939491969083637800;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646007013655x703239832535564300;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646007343207x374611666418532350;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646007388958x960828535467671600;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646007433731x184264959198232580;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646007475562x244987557894684670;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646007519609x859321708366790700;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646007563952x540853707436195840;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646007726226x294011249669701600;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646007768812x445314416450732000;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646007834331x206357663831031800;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646041742814x888692202505764900;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646041810693x167315337677897730;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646041844131x441121711014805500;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646041879061x213004567533584400;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646042003718x156997026820128770;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646044014949x598117844566147100;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646044040631x968329898757718000;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646044064412x215261944147607550;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646044092587x470402618835337200;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646044123567x893087844807999500;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646044153194x307328914523422700;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646044182850x823119370493100000;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646044212432x654681295881502700;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646044258898x910483490110177300;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646044322416x194060002586263550;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646044360613x945319696352673800;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646044378846x461628467705020400;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646044407023x716846079523684400;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646044429934x994892107883479000;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646044450320x273313431318691840;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646044471486x857007673649659900;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646044494996x616877785144623100;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646044523586x897021364390854700;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646044545830x921852007769702400;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646044566712x841129626094534700;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646044590614x134820234130358270;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646044617905x404407665198891000;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646045100484x442344100910858200;1620726844573x269089511257849540;;;;;;
1646045194275x295955551612305400;;;;;;;
1646045277887x308856453331943400;;;;;;;
1646045293623x350396995086057500;;;;;;;
1646045306280x869302024263958500;;;;;;;
1646045318584x614456443061403600;;;;;;;
1646045333101x573468857910951940;;;;;;;
1646045354090x158080680028798980;;;;;;;
1646045372144x963990516220821500;1646506366757x714669705568882000;;;;;;
1646045421395x303134361133514750;;;;;;;
1646045434247x324389624811356160;;;;;;;
1646045447763x805197605197054000;;;;;;;
1646045459441x136933278593581060;;;;;;;
1646045471958x221509036560875520;;;;;;;
1646045484864x386039312056057860;;;;;;;
1646045497176x687445816732549100;;;;;;;
1646045550716x255820581088788500;;;;;;;
1646045599999x505188827856633860;;;;;;;
1646045610417x302999302650462200;;;;;;;
1646045698782x424507589168726000;;;;;;;
1646045710773x830222999398383600;;;;;;;
1646045723165x335824409885409300;;;;;;;
1646045734852x699279475178733600;;;;;;;
1646045747322x511941646609285100;;;;;;;
1646045759887x967158438388564000;;;;;;;
1646045771467x944558688779632600;;;;;;;
1646045782306x929214051496493000;;;;;;;
1646045794321x866359584057983000;;;;;;;
1646045805219x868471066532773900;;;;;;;
1646045815810x125680445746315260;;;;;;;
1646045828908x223592397401227260;;;;;;;
1646045841392x244403372298600450;;;;;;;
1646045851304x618273374696374300;;;;;;;
1646045864698x175209860803067900;;;;;;;
1646045876926x215950993164599300;;;;;;;
1646045889615x569810875233075200;;;;;;;
1646045901759x451887526165872640;;;;;;;
1646045911920x874113056079347700;;;;;;;
1646045921409x104522416128524290;;;;;;;
1646045930843x231688163828957200;;;;;;;
1646045941457x733587537186521100;;;;;;;
1646045952307x456765159745257500;;;;;;;
1646045962014x564575252205010940;;;;;;;
1646045972880x712834087840645100;;;;;;;
1646045983494x289893736206041100;;;;;;;
1646045997066x837627048469725200;;;;;;;
1646046009257x484551804566634500;;;;;;;
1646046022460x359468904848031740;;;;;;;
1646046083849x667022596052615200;;;;;;;
1646046096265x891517662675075100;;;;;;;
1646046107905x733100077335183400;;;;;;;
1646046120343x520848675741368300;;;;;;;
1646046130848x874876607908544500;;;;;;;
1646046141894x188298696432549900;;;;;;;
1646046154206x967008904027308000;;;;;;;
1646046164987x535355598461468700;;;;;;;
1646046174952x870861703738818600;;;;;;;
1646046186226x620394498048393200;;;;;;;
1646046194368x290875546992115700;;;;;;;
1646046227639x103119518644043780;;;;;;;
1646046239606x985879568034824200;;;;;;;
1646046250128x683190609292296200;;;;;;;
1646046260065x228329236322582530;;;;;;;
1646046271407x479584807838023700;;;;;;;
1646046282923x518926121253732350;;;;;;;
1646046293750x627811486147543000;;;;;;;
1646046303307x224340591097413630;;;;;;;
1646046315183x175662107577024500;;;;;;;
1646046366272x423123851272519700;;;;;;;
1646046376738x718738154010443800;;;;;;;
1646046387868x922979939581165600;;;;;;;
1646046405698x734723260431990800;;;;;;;
1646046421446x416280926025941000;;;;;;;
1646046438030x878419481300041700;;;;;;;
1646046450079x980450225278156800;;;;;;;
1646046460793x994956762379190300;;;;;;;
1646046471219x812006686677008400;;;;;;;
1646046483203x651166994656133100;;;;;;;
1646046497315x415171892559216640;;;;;;;
1646046506137x733803613132685300;;;;;;;
1646046517356x640741440682459100;;;;;;;
1646046526764x466116584564064260;;;;;;;
1646046536980x378288431255781400;;;;;;;
1646046547742x943757017641910300;;;;;;;
1646046557301x859756969473605600;;;;;;;
1646046591320x659879152412262400;;;;;;;
1646046600695x974463919566880800;;;;;;;
1646046611642x288717319886602240;;;;;;;
1646046670056x139991667227230200;;;;;;;
1646047188905x221889387080450050;;;;;;;
1646047202819x976060113126948900;;;;;;;
1646047215384x735822290006310900;;;;;;;
1646047229109x935678477899399200;;;;;;;
1646047241253x370073873154572300;;;;;;;
1646047254390x882527481256869900;;;;;;;
1646047268418x396818396450390000;;;;;;;
1646051507373x256916616834711550;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646051648092x316471038783520800;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646051700855x765957077265023000;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646051744395x705094558322262000;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646051888053x922791342599307300;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646051939546x165033089977024500;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646052041961x733631874562261000;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646055721429x764932602454343700;1620726844573x269089511257849540;;;;;;
1646055745270x173209224271101950;1620726844573x269089511257849540;;;;;;
1646055766143x466697331943669760;1620726844573x269089511257849540;;;;;;
1646055803449x328107164682420200;1620726844573x269089511257849540;;;;;;
1646055829326x698916258890645500;1620726844573x269089511257849540;;;;;;
1646055850951x798441526973169700;1620726844573x269089511257849540;;;;;;
1646055873873x526264333461094400;1620726844573x269089511257849540;;;;;;
1646055931997x984898549431402500;1620726844573x269089511257849540;;;;;;
1646056006891x370792532853391400;1620726844573x269089511257849540;;;;;;
1646056064947x824226914550677500;1620726844573x269089511257849540;;;;;;
1646056110300x896331255007674400;1620726844573x269089511257849540;;;;;;
1646056134075x770709283310665700;1620726844573x269089511257849540;;;;;;
1646056153677x552282699164549100;1620726844573x269089511257849540;;;;;;
1646056176308x229365389758562300;1620726844573x269089511257849540;;;;;;
1646056195244x828086256661168100;1620726844573x269089511257849540;;;;;;
1646056213477x826734852894359600;1620726844573x269089511257849540;;;;;;
1646056234001x486523721036595200;1620726844573x269089511257849540;;;;;;
1646056253210x838910151206109200;1620726844573x269089511257849540;;;;;;
1646056268088x452317993290432500;1620726844573x269089511257849540;;;;;;
1646056288464x671923813765349400;1620726844573x269089511257849540;;;;;;
1646056367082x148696838077153280;1620726844573x269089511257849540;;;;;;
1646056676207x301388460338708500;1620726844573x269089511257849540;;;;;;
1646056718341x552019942079463400;1620726844573x269089511257849540;;;;;;
1646057002603x912306944112590800;1620726844573x269089511257849540;;;;;;
1646057026808x744322410538598400;1620726844573x269089511257849540;;;;;;
1646057092465x728218663778254800;1620726844573x269089511257849540;;;;;;
1646057115339x714778642618253300;1620726844573x269089511257849540;;;;;;
1646057212304x748223294541922300;1620726844573x269089511257849540;;;;;;
1646057237312x990068868171694100;1620726844573x269089511257849540;;;;;;
1646057282493x224373942313287700;1620726844573x269089511257849540;;;;;;
1646057303859x576223765039415300;1620726844573x269089511257849540;;;;;;
1646057346829x199598109302456300;1620726844573x269089511257849540;;;;;;
1646057481248x891109791818842100;1620726844573x269089511257849540;;;;;;
1646057523053x675873740114362400;1620726844573x269089511257849540;;;;;;
1646057548391x858139000648237000;1620726844573x269089511257849540;;;;;;
1646057571549x391605325879836700;1620726844573x269089511257849540;;;;;;
1646058035368x458009484456886300;;;;;;;
1646058856441x246537140438827000;;;;;;;
1646058891202x383947533729660900;;;;;;;
1646058912378x327258477572915200;;;;;;;
1646058935662x550387229051060200;;;;;;;
1646058962880x579143380701282300;;;;;;;
1646058982912x896007674368098300;;;;;;;
1646059003432x884893274134806500;;;;;;;
1646059025498x580499341826588700;;;;;;;
1646059043629x481700952913477600;;;;;;;
1646059063682x875341965025607700;;;;;;;
1646059081301x968607547628453900;;;;;;;
1646059101625x131069558482010110;;;;;;;
1646059122456x535029233351917600;;;;;;;
1646059142833x771875014644858900;;;;;;;
1646059161117x313876600685854700;;;;;;;
1646059470946x304520860768403460;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646059495670x362790142326603800;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646059525495x592553748408565800;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646060114457x833725889263960000;;;;;;;
1646060134121x564925659061157900;;;;;;;
1646060148094x908068578544320500;;;;;;;
1646060162504x163060982761652220;;;;;;;
1646060794554x347628316168552450;1620726844573x269089511257849540;;;;;;
1646060888123x621129778650153000;1620726844573x269089511257849540;;;;;;
1646060904244x999208284816932900;1620726844573x269089511257849540;;;;;;
1646060947405x614429137106894800;1620726844573x269089511257849540;;;;;;
1646060967058x279070449245880320;1620726844573x269089511257849540;;;;;;
1646061194473x444854173093068800;;;;;;;
1646061230323x262312968714977280;;;;;;;
1646061259346x890059595490263000;;;;;;;
1646061284389x343234168945639400;;;;;;;
1646061304100x378998865797840900;;;;;;;
1646061338305x368824682125721600;;;;;;;
1646061358983x753618037670150100;;;;;;;
1646061387492x359161429448458240;;;;;;;
1646070912969x131746762518691840;;;;;;;
1646076932014x613463772116287500;;;;;;;
1646076991392x118455999096684540;;;;;;;
1646077011590x201858555168423940;;;;;;;
1646077036948x179488001535246340;;;;;;;
1646077076832x498147308074696700;;;;;;;
1646077101954x685542941511647200;;;;;;;
1646077120727x111679401869967360;;;;;;;
1646077137544x485267463983857660;;;;;;;
1646077165474x690295689946595300;;;;;;;
1646077181295x354669683636174850;;;;;;;
1646077202851x413438455777853400;;;;;;;
1646077229616x597286781053567000;;;;;;;
1646077262793x244748248374575100;;;;;;;
1646077281065x753155168844906500;;;;;;;
1646077303747x612975729370726400;;;;;;;
1646081348951x201517379781918720;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646329717219x948972982508978200;1620726844573x269089511257849540,1646506366757x714669705568882000;;;;;;
1646330393293x341369909170405400;1620726844573x269089511257849540,1646506366757x714669705568882000,1646662862016x123828431108585330,1649464038228x722383135974790800;;;;;;
1646330630405x126509636461264900;1620726844573x269089511257849540,1646506366757x714669705568882000,1646662862016x123828431108585330,1649464038228x722383135974790800;;;;;;
1646331056862x577154249621241900;1620726844573x269089511257849540,1646506366757x714669705568882000,1646662862016x123828431108585330;;;;;;
1646332355314x262125875788775420;1620726844573x269089511257849540,1646506366757x714669705568882000;;;;;;
1646333418738x359083952721625100;1620726844573x269089511257849540,1646506366757x714669705568882000;;;;;;
1646333807446x940137412799234000;1620726844573x269089511257849540,1646506366757x714669705568882000;;;;;;
1646334164037x177912065695416320;1620726844573x269089511257849540,1646506366757x714669705568882000;;;;;;
1646334788399x379305093426839550;1620726844573x269089511257849540,1646506366757x714669705568882000,1646662862016x123828431108585330;;;;;;
1646494141538x148194806896263170;1620726844573x269089511257849540;;;;;;
1646494225709x430916970869162000;1620726844573x269089511257849540;;;;;;
1646494267236x830709564629319700;1620726844573x269089511257849540;;;;;;
1646494301761x446836479408472060;1620726844573x269089511257849540;;;;;;
1646494335787x442765320155824100;1620726844573x269089511257849540;;;;;;
1646494372339x959061201867505700;1620726844573x269089511257849540;;;;;;
1646494410306x163851840081887230;1620726844573x269089511257849540;;;;;;
1646494517153x637010938190889000;1620726844573x269089511257849540;;;;;;
1646494601821x349522322659737600;1620726844573x269089511257849540;;;;;;
1646494646703x343610434923790340;1620726844573x269089511257849540;;;;;;
1646494706979x217711503480193020;1620726844573x269089511257849540;;;;;;
1646494741730x942108726378102800;1620726844573x269089511257849540;;;;;;
1646494857615x656077202214355000;1620726844573x269089511257849540;;;;;;
1646494888796x259653560543739900;1620726844573x269089511257849540;;;;;;
1646494931671x413440861213294600;1620726844573x269089511257849540;;;;;;
1646494983894x568738836629684200;1620726844573x269089511257849540;;;;;;
1646495026376x888917200950526000;1620726844573x269089511257849540;;;;;;
1646495060937x700708453129388000;1620726844573x269089511257849540;;;;;;
1646495107648x846008970268115000;1620726844573x269089511257849540;;;;;;
1646495143131x836407941227348000;1620726844573x269089511257849540;;;;;;
1646495197787x277581152169754620;1620726844573x269089511257849540;;;;;;
1646495226995x174229448283127800;1620726844573x269089511257849540;;;;;;
1646495256534x200510272243499000;1620726844573x269089511257849540;;;;;;
1646495372823x371096638575345660;1620726844573x269089511257849540;;;;;;
1646495402804x507223954574540800;1620726844573x269089511257849540;;;;;;
1646495436613x163610141424353280;1620726844573x269089511257849540;;;;;;
1646495466958x304406670998241300;1620726844573x269089511257849540;;;;;;
1646495494419x715838035245400000;1620726844573x269089511257849540;;;;;;
1646495583676x451706892201492500;1620726844573x269089511257849540;;;;;;
1646495610498x109163023834284030;1620726844573x269089511257849540;;;;;;
1646495652685x670566373575884800;1620726844573x269089511257849540;;;;;;
